SCHCD,Bldstatus,Clrooms,Clgood,Clmajor,ClMinor,OthGood,OthMajor,OthMinor,Toilet_C,Toiletb,Toilet_g,KITDEVGRANT_YN,MEALSINSCH,CAL_YN,HMRoom_YN,Electric_YN,Bndrywall,library_YN,PGround_YN,Blackboard,BookinLib,Water,MedChk_YN,Ramps_YN,Computer,Tch_Male,Tch_Female,Tch_NR,HeadTch,GradAbove,TchWithProf,DaysInvld,TchInvld
7010102502,3,27,27,0,0,31,0,0,0,16,16,0,3,1,1,1,1,1,1,25,7125,4,1,1,20,1,77,0,0,70,78,0,0
7010102501,3,17,17,0,0,7,0,0,0,24,24,0,3,1,1,1,2,1,1,15,1670,4,2,1,10,0,51,0,0,51,51,0,0
7010102303,3,12,0,0,12,0,0,0,0,6,0,0,3,1,1,1,1,1,2,34,3153,3,1,1,3,57,0,0,0,57,57,0,0
7010102302,4,24,16,0,8,5,2,9,0,8,12,0,3,1,1,1,1,2,1,54,6403,3,1,1,0,3,79,0,0,82,82,1234,80
7010102301,3,21,12,8,1,6,0,0,0,0,3,0,3,1,1,1,1,1,1,29,3865,3,1,1,10,0,54,0,0,54,54,0,0
7010102206,3,28,23,5,0,8,2,0,0,6,6,0,3,1,1,1,1,1,1,29,5062,3,1,1,20,34,58,0,0,90,92,0,0
7010102205,4,25,0,14,11,7,0,0,0,14,13,0,3,1,1,1,2,1,1,21,2178,3,1,1,2,62,4,0,0,65,66,0,0
7010102204,3,17,17,0,0,2,0,0,0,3,0,0,3,2,1,1,1,2,2,29,0,3,2,2,0,40,2,0,0,41,42,33,7
7010102203,3,36,0,15,21,7,5,0,0,14,13,0,3,3,1,1,2,1,1,37,5178,3,1,1,20,0,125,0,0,124,125,0,0
7010102202,3,8,8,0,0,14,0,0,0,9,9,0,3,2,1,1,1,2,2,23,0,3,2,2,0,12,15,0,0,27,27,0,0
7010102105,3,14,0,14,0,0,22,0,0,3,3,0,3,2,1,1,1,1,1,13,424,3,1,1,0,39,12,0,0,51,51,237,30
7010102104,4,22,22,0,0,6,0,0,0,24,20,0,3,1,1,1,1,1,1,23,3500,3,1,1,1,17,55,0,0,72,72,0,0
7010102103,3,12,0,12,0,5,2,0,0,4,4,0,3,1,1,1,1,1,1,11,3853,3,1,1,10,15,37,0,0,50,52,155,3
7010102102,4,19,19,0,0,28,0,0,0,16,12,0,3,1,1,1,1,1,1,19,5777,3,2,1,0,0,49,0,0,48,49,0,0
7010102101,3,21,9,12,0,0,18,0,0,3,3,0,3,3,1,1,1,1,1,22,4623,3,1,1,20,1,56,0,0,56,57,25,5
7010101902,4,12,8,4,0,6,0,0,0,3,3,0,3,2,1,1,1,1,2,7,251,4,2,1,0,14,1,0,0,13,15,0,0
7010101901,4,28,28,0,0,27,0,0,0,0,38,0,3,1,1,1,1,2,2,27,6000,3,2,1,0,0,98,0,0,98,98,0,0
7010101804,4,9,9,0,0,16,0,0,0,11,0,0,3,1,1,1,1,1,1,13,642,3,2,1,0,25,4,0,0,29,29,115,23
7010101803,3,14,14,0,0,9,0,0,0,0,11,0,3,1,1,1,1,1,1,20,1870,3,2,1,12,1,38,0,0,39,39,0,0
7010101802,4,19,15,3,1,6,0,0,0,3,3,0,3,2,1,1,1,1,1,14,2296,3,1,1,0,46,0,0,0,46,46,125,3
7010101801,3,17,7,0,10,2,0,0,0,4,4,0,3,1,1,1,1,1,1,15,3383,3,2,1,13,2,37,0,0,38,39,0,0
7010101704,3,16,6,0,10,18,0,0,0,18,0,0,3,1,1,1,2,1,1,15,5794,3,1,1,10,61,5,0,0,66,66,80,5
7010101703,4,25,25,0,0,12,0,0,0,7,28,0,3,3,1,1,1,1,1,25,4594,3,1,1,10,1,73,0,0,73,74,178,28
7010101702,3,22,22,0,0,15,0,0,0,0,36,0,3,1,1,1,1,1,1,46,4588,3,2,1,23,0,72,0,0,71,72,0,0
7010101701,3,13,13,0,0,26,0,2,0,23,0,0,3,1,1,1,1,1,1,10,6742,3,1,2,10,35,5,0,0,38,40,0,0
7010101601,3,24,24,0,0,42,0,0,0,12,12,0,3,1,1,1,1,1,1,21,6065,3,2,1,0,2,72,0,0,74,74,0,0
7010101501,3,18,18,0,0,8,0,0,0,12,12,0,3,1,1,1,1,1,1,18,4639,3,1,1,0,40,1,0,0,40,41,0,0
7010101407,4,16,16,0,0,11,2,1,0,31,21,0,3,1,1,1,2,1,1,36,6510,3,2,1,1,48,0,0,0,48,48,0,0
7010101406,3,28,28,0,0,27,0,0,0,12,12,0,3,1,1,1,1,2,1,52,6341,3,1,1,30,3,66,0,0,63,69,0,0
7010101405,3,17,10,5,2,6,11,3,0,31,21,0,3,1,1,1,1,1,1,39,5322,3,1,1,8,0,68,0,0,68,68,0,0
7010101404,3,6,6,0,0,6,0,0,0,0,8,0,3,1,1,1,1,1,1,12,3497,3,2,1,13,0,25,0,0,24,25,5,1
7010101403,3,22,22,0,0,10,0,0,0,12,12,0,3,1,1,1,1,1,2,36,5357,3,1,1,2,41,0,0,0,39,41,0,0
7010101402,3,11,11,0,0,9,0,0,0,3,6,0,3,1,1,1,1,1,2,11,2900,3,1,1,1,0,29,0,0,28,29,370,8
7010101401,3,11,11,0,0,9,0,0,0,3,6,0,3,1,1,1,1,1,2,12,1696,3,1,2,13,20,1,0,0,21,21,0,0
7010101301,2,11,11,0,0,7,0,0,0,8,3,0,3,1,1,1,1,1,1,28,5611,3,1,1,1,23,19,0,0,42,42,0,0
7010101205,3,12,12,0,0,17,0,0,0,47,0,0,3,1,1,1,1,1,1,12,2620,3,1,1,0,38,1,0,0,37,39,0,0
7010101204,3,9,0,7,2,0,1,0,0,26,0,0,3,1,1,1,1,1,1,9,11408,3,2,1,18,39,2,0,0,39,41,0,0
7010101203,3,5,0,5,0,0,2,0,0,10,16,0,3,3,2,1,1,1,1,20,11935,3,2,1,20,0,43,0,0,41,43,0,0
7010101202,3,16,16,0,0,10,0,0,0,21,26,0,3,1,1,1,1,1,1,29,6000,3,2,1,10,2,54,0,0,55,56,0,0
7010101201,3,13,13,0,0,13,0,0,0,12,12,0,3,1,1,1,1,1,1,20,2500,3,2,1,2,3,29,0,0,30,32,0,0
7010101101,3,10,10,0,0,20,0,0,0,72,0,0,3,1,1,1,1,1,1,11,5307,3,1,1,0,70,6,0,0,76,76,0,0
7010101002,4,14,14,0,0,7,0,0,0,9,0,0,3,1,1,1,1,1,1,14,2304,3,2,1,1,15,0,0,0,15,15,435,10
7010101001,3,14,14,0,0,7,0,0,0,0,9,0,3,1,1,1,1,1,1,14,2145,3,2,1,13,0,20,0,0,20,20,72,1
7010100703,4,8,0,8,0,0,0,0,0,4,8,0,3,3,1,1,1,1,1,8,3454,3,1,1,1,24,10,0,0,32,34,4,1
7010100702,4,9,9,0,0,14,0,0,0,0,6,0,3,1,1,1,3,1,2,9,3213,3,1,1,1,0,38,0,0,38,38,132,9
7010100701,4,9,9,0,0,12,0,0,0,6,0,0,3,1,1,1,3,1,2,24,2385,3,2,1,7,43,0,0,0,42,43,0,0
7010100506,3,36,36,0,0,17,0,0,0,23,0,0,3,1,1,1,1,1,1,31,4065,3,1,1,3,52,0,0,0,50,52,0,0
7010100505,3,26,26,0,0,26,0,0,0,21,0,0,3,1,1,1,3,1,2,27,0,3,2,1,0,99,1,0,0,99,100,0,0
7010100504,3,8,8,0,0,2,0,0,0,4,0,0,3,3,1,1,1,1,1,12,1225,3,1,1,0,17,0,0,0,17,17,0,0
