SCHCD,Rural_Urban,Medium_of_Instruction,Distance_BRC,Distance_CRC,Yeur_Estd,Pre_Pry_YN,Residential_Sch_YN,Sch_Management,Lowest_Class,Highest_Class,Sch_Category,Pre_Pry_Students,School_Type,Shift_School_YN,No_of_Working_Days,No_of_Acad_Inspection,Residential_Sch_Type,Pre_Pry_Teachers,Visits_by_BRC,Visits_by_CRC,School_Dev_Grant_Recd,School_Dev_Grant_Expnd,TLM_Grant_Recd,TLM_Grant_Expnd,Funds_from_students_Recd,Funds_from_students_Expnd
070502ND801,2,4,10,3,1944,2,2,4,0,12,3,13,1,2,0,0,2,0,0,5,12000,12000,7000,7000,0,0
070502ND803,2,4,0,0,1947,2,2,4,1,12,3,0,3,2,0,0,2,0,0,5,0,0,12000,12000,0,0
070503ND101,2,19,1,0,1952,2,2,5,0,10,6,151,3,2,0,0,2,5,0,5,0,0,0,0,0,0
070503ND102,2,19,4,2,1932,2,2,5,1,12,3,0,2,2,0,0,2,0,0,5,0,0,0,0,0,0
070503ND201,2,19,7,5,1956,1,2,5,0,12,3,141,2,2,0,0,2,4,0,5,0,0,0,0,0,0
070503ND202,2,19,1,1,1919,1,2,5,0,12,3,150,2,2,0,0,2,4,0,5,0,0,0,0,0,0
070503ND203,2,19,4,3,1920,2,2,5,6,12,5,0,3,2,0,0,2,0,0,5,0,0,0,0,0,0
070503ND204,2,19,0,8,1965,1,2,5,0,12,3,223,3,2,0,0,2,15,0,5,0,0,0,0,0,0
070503ND205,2,19,0,1,1941,1,2,5,0,12,3,243,1,2,0,0,2,6,0,5,0,0,0,0,0,0
070503ND206,2,19,0,0,1992,1,2,5,0,10,6,105,3,2,0,0,2,5,0,5,0,0,0,0,0,0
070503ND401,2,19,6,12,1957,1,2,5,0,12,3,140,3,2,0,0,2,4,0,5,0,0,0,0,0,0
070503ND801,2,4,7,5,1958,2,2,5,0,12,3,202,3,2,0,0,2,8,0,5,0,0,0,0,0,0
070503ND901,2,19,2,1,1999,1,2,5,0,12,3,317,3,2,0,0,2,19,0,5,0,0,0,0,0,0
070503ND902,2,19,0,0,1957,1,2,5,0,12,3,97,2,2,0,0,2,3,0,5,0,0,0,0,0,0
