SCHCD,Tch_Male,Tch_Female,Tch_NR,HeadTch,GradAbove,TchWithProf,DaysInvld,TchInvld
7010104704,13,39,0,0,52,52,220,1
7010104705,1,71,0,0,70,72,620,57
7010104706,40,0,0,0,38,40,0,0
7010104707,73,2,0,0,74,75,9,4
7010104802,0,58,0,0,55,58,182,48
7010104804,1,73,0,0,69,74,246,15
7010104805,54,0,0,0,53,54,0,0
7010104806,33,0,0,0,33,33,0,0
7010104901,12,31,0,0,41,43,0,0
7010105101,15,45,0,0,60,60,0,0
7010105102,39,4,0,0,42,43,0,0
7010105201,15,58,0,0,69,73,0,0
7010105301,16,49,0,0,62,65,665,2
7010105402,0,33,0,0,33,33,30,11
7010105403,17,44,0,0,60,61,0,0
7010105404,19,2,0,0,21,21,0,0
7010105501,1,53,0,0,52,54,0,0
7010105502,0,32,0,0,32,32,0,0
7010105503,1,30,0,0,30,31,0,0
7010105504,29,1,0,0,30,30,240,25
7010105505,23,5,0,0,28,28,49,1
7010105601,10,16,0,0,26,26,154,20
7010105602,0,35,0,0,34,35,0,0
7010105603,6,28,0,0,31,34,450,15
7010105604,24,0,0,0,24,24,0,0
7010105605,17,44,0,0,54,61,0,0
7010105606,21,5,0,0,26,26,0,0
7010105901,7,17,0,0,24,24,0,0
7010105902,0,45,0,0,45,45,0,0
7010105903,28,1,0,0,29,29,0,0
7010106001,11,36,0,0,47,47,0,0
7010106002,12,37,0,0,47,49,458,13
7010106003,0,35,0,0,35,35,0,0
7010106004,12,44,0,0,55,56,168,43
7010106101,1,24,0,0,25,25,0,0
7010106102,16,2,0,0,18,18,201,5
7010106201,0,42,0,0,42,42,0,0
7010106202,1,30,0,0,29,31,74,19
7010106203,0,45,0,0,44,45,0,0
7010106204,7,4,0,0,11,11,0,0
7010106205,34,7,0,0,38,41,70,4
7010106301,0,29,0,0,29,29,30,3
7010106302,44,3,0,0,41,47,0,0
7010106401,0,39,0,0,39,39,0,0
7010106402,25,2,0,0,26,27,60,1
